Disease,County,Year,Sex,Count,Population,Rate,CI.lower,CI.upper,Unstable
Lyme Disease,California,2014,Male,32,19154588,0.167,0.114,0.236, 
Lyme Disease,Alameda,2001,Total,3,1466038,0.205,0.042,0.598,*
Lyme Disease,Alameda,2001,Female,2,746829,0.268,0.032,0.967,*
Lyme Disease,Alameda,2001,Male,1,719209,0.139,0.004,0.775,*
Lyme Disease,Alameda,2002,Total,7,1468943,0.477,0.192,0.982,*
Lyme Disease,Alameda,2002,Female,3,748222,0.401,0.083,1.172,*
Lyme Disease,Alameda,2002,Male,4,720721,0.555,0.151,1.421,*
Lyme Disease,Alameda,2003,Total,1,1467663,0.068,0.002,0.38,*
Lyme Disease,Alameda,2003,Female,0,747676,0,0,0.493,-
Lyme Disease,Alameda,2003,Male,1,719986,0.139,0.004,0.774,*
Lyme Disease,Alameda,2004,Total,1,1466017,0.068,0.002,0.38,*
Lyme Disease,Alameda,2004,Female,0,746959,0,0,0.494,-
Lyme Disease,Alameda,2004,Male,1,719059,0.139,0.004,0.775,*
Lyme Disease,Alameda,2005,Total,5,1460358,0.342,0.111,0.799,*
Lyme Disease,Alameda,2005,Female,2,744115,0.269,0.033,0.971,*
Lyme Disease,Alameda,2005,Male,3,716243,0.419,0.086,1.224,*
Lyme Disease,Alameda,2006,Total,3,1465322,0.205,0.042,0.598,*
Lyme Disease,Alameda,2006,Female,2,746698,0.268,0.032,0.968,*
Lyme Disease,Alameda,2006,Male,1,718624,0.139,0.004,0.775,*
Lyme Disease,Alameda,2007,Total,3,1476892,0.203,0.042,0.594,*
Lyme Disease,Alameda,2007,Female,0,752546,0,0,0.49,-
Lyme Disease,Alameda,2007,Male,3,724347,0.414,0.085,1.21,*
Lyme Disease,Alameda,2008,Total,7,1492275,0.469,0.189,0.966,*
Lyme Disease,Alameda,2008,Female,4,760368,0.526,0.143,1.347,*
Lyme Disease,Alameda,2008,Male,3,731907,0.41,0.085,1.198,*
Lyme Disease,Alameda,2009,Total,3,1504325,0.199,0.041,0.583,*
Lyme Disease,Alameda,2009,Female,2,765992,0.261,0.032,0.943,*
Lyme Disease,Alameda,2009,Male,1,738333,0.135,0.003,0.755,*
Lyme Disease,Alameda,2010,Total,2,1513734,0.132,0.016,0.477,*
Lyme Disease,Alameda,2010,Female,0,771369,0,0,0.478,-
Lyme Disease,Alameda,2010,Male,2,742365,0.269,0.033,0.973,*
Lyme Disease,Alameda,2011,Total,1,1526738,0.065,0.002,0.365,*
Lyme Disease,Alameda,2011,Female,1,777894,0.129,0.003,0.716,*
Lyme Disease,Alameda,2011,Male,0,748844,0,0,0.493,-
Lyme Disease,Alameda,2012,Total,4,1539660,0.26,0.071,0.665,*
Lyme Disease,Alameda,2012,Female,0,784429,0,0,0.47,-
Lyme Disease,Alameda,2012,Male,4,755231,0.53,0.144,1.356,*
Lyme Disease,Alameda,2013,Total,0,1564017,0,0,0.236,-
Lyme Disease,Alameda,2013,Female,0,797654,0,0,0.462,-
Lyme Disease,Alameda,2013,Male,0,766363,0,0,0.481,-
Lyme Disease,Alameda,2014,Total,1,1584507,0.063,0.002,0.352,*
Lyme Disease,Alameda,2014,Female,0,808612,0,0,0.456,-
Lyme Disease,Alameda,2014,Male,1,775895,0.129,0.003,0.718,*
Lyme Disease,Alpine,2001,Total,0,1237,0,0,297.768,-
Lyme Disease,Alpine,2001,Female,0,589,0,0,624.338,-
Lyme Disease,Alpine,2001,Male,0,648,0,0,567.654,-
Lyme Disease,Alpine,2002,Total,0,1248,0,0,295.147,-
Lyme Disease,Alpine,2002,Female,0,594,0,0,619.099,-
Lyme Disease,Alpine,2002,Male,0,654,0,0,562.461,-
Lyme Disease,Alpine,2003,Total,0,1249,0,0,294.911,-
Lyme Disease,Alpine,2003,Female,0,596,0,0,617.028,-
Lyme Disease,Alpine,2003,Male,0,653,0,0,563.32,-
Lyme Disease,Alpine,2004,Total,0,1266,0,0,290.957,-
Lyme Disease,Alpine,2004,Female,0,607,0,0,605.88,-
Lyme Disease,Alpine,2004,Male,0,659,0,0,558.205,-
Lyme Disease,Alpine,2005,Total,0,1208,0,0,304.905,-
Lyme Disease,Alpine,2005,Female,0,580,0,0,633.995,-
Lyme Disease,Alpine,2005,Male,0,628,0,0,585.679,-
Lyme Disease,Alpine,2006,Total,0,1255,0,0,293.503,-
Lyme Disease,Alpine,2006,Female,0,605,0,0,607.877,-
Lyme Disease,Alpine,2006,Male,0,650,0,0,565.913,-
Lyme Disease,Alpine,2007,Total,0,1248,0,0,295.147,-
Lyme Disease,Alpine,2007,Female,0,599,0,0,613.947,-
Lyme Disease,Alpine,2007,Male,0,649,0,0,566.782,-
Lyme Disease,Alpine,2008,Total,0,1208,0,0,304.905,-
Lyme Disease,Alpine,2008,Female,0,581,0,0,632.908,-
Lyme Disease,Alpine,2008,Male,0,627,0,0,586.611,-
Lyme Disease,Alpine,2009,Total,0,1180,0,0,312.129,-
Lyme Disease,Alpine,2009,Female,0,570,0,0,645.082,-
Lyme Disease,Alpine,2009,Male,0,610,0,0,602.909,-
Lyme Disease,Alpine,2010,Total,0,1163,0,0,316.684,-
Lyme Disease,Alpine,2010,Female,0,561,0,0,655.397,-
Lyme Disease,Alpine,2010,Male,0,602,0,0,610.897,-
Lyme Disease,Alpine,2011,Total,0,1118,0,0,329.41,-
Lyme Disease,Alpine,2011,Female,0,537,0,0,684.588,-
Lyme Disease,Alpine,2011,Male,0,581,0,0,632.908,-
Lyme Disease,Alpine,2012,Total,0,1114,0,0,330.591,-
Lyme Disease,Alpine,2012,Female,0,535,0,0,687.139,-
Lyme Disease,Alpine,2012,Male,0,579,0,0,635.087,-
Lyme Disease,Alpine,2013,Total,0,1112,0,0,331.184,-
Lyme Disease,Alpine,2013,Female,0,533,0,0,689.708,-
Lyme Disease,Alpine,2013,Male,0,579,0,0,635.087,-
Lyme Disease,Alpine,2014,Total,0,1112,0,0,331.184,-
Lyme Disease,Alpine,2014,Female,0,534,0,0,688.421,-
Lyme Disease,Alpine,2014,Male,0,578,0,0,636.182,-
Lyme Disease,Amador,2001,Total,0,35784,0,0,10.308,-
Lyme Disease,Amador,2001,Female,0,16101,0,0,22.908,-
Lyme Disease,Amador,2001,Male,0,19683,0,0,18.74,-
Lyme Disease,Amador,2002,Total,0,36535,0,0,10.096,-
Lyme Disease,Amador,2002,Female,0,16416,0,0,22.469,-
Lyme Disease,Amador,2002,Male,0,20119,0,0,18.334,-
Lyme Disease,Amador,2003,Total,0,36776,0,0,10.03,-
Lyme Disease,Amador,2003,Female,0,16572,0,0,22.257,-
Lyme Disease,Amador,2003,Male,0,20204,0,0,18.256,-
Lyme Disease,Amador,2004,Total,0,37147,0,0,9.93,-
Lyme Disease,Amador,2004,Female,0,16732,0,0,22.044,-
Lyme Disease,Amador,2004,Male,0,20415,0,0,18.068,-
Lyme Disease,Amador,2005,Total,0,37722,0,0,9.779,-
Lyme Disease,Amador,2005,Female,0,16990,0,0,21.71,-
Lyme Disease,Amador,2005,Male,0,20732,0,0,17.792,-
Lyme Disease,Amador,2006,Total,1,37964,2.634,0.067,14.675,*
Lyme Disease,Amador,2006,Female,1,17119,5.841,0.148,32.542,*
Lyme Disease,Amador,2006,Male,0,20845,0,0,17.695,-
Lyme Disease,Amador,2007,Total,2,38085,5.251,0.636,18.969,*
Lyme Disease,Amador,2007,Female,0,17207,0,0,21.436,-
Lyme Disease,Amador,2007,Male,2,20878,9.579,1.16,34.6,*
Lyme Disease,Amador,2008,Total,0,37864,0,0,9.742,-
Lyme Disease,Amador,2008,Female,0,17163,0,0,21.491,-
Lyme Disease,Amador,2008,Male,0,20701,0,0,17.818,-
Lyme Disease,Amador,2009,Total,0,37905,0,0,9.731,-
Lyme Disease,Amador,2009,Female,0,17197,0,0,21.448,-
Lyme Disease,Amador,2009,Male,0,20708,0,0,17.812,-
Lyme Disease,Amador,2010,Total,1,37863,2.641,0.067,14.714,*
Lyme Disease,Amador,2010,Female,0,17118,0,0,21.547,-
Lyme Disease,Amador,2010,Male,1,20745,4.82,0.122,26.855,*
Lyme Disease,Amador,2011,Total,0,37309,0,0,9.887,-
Lyme Disease,Amador,2011,Female,0,16886,0,0,21.843,-
Lyme Disease,Amador,2011,Male,0,20423,0,0,18.061,-
Lyme Disease,Amador,2012,Total,0,36403,0,0,10.133,-
Lyme Disease,Amador,2012,Female,0,16489,0,0,22.369,-
Lyme Disease,Amador,2012,Male,0,19914,0,0,18.522,-
Lyme Disease,Amador,2013,Total,1,36028,2.776,0.07,15.464,*
Lyme Disease,Amador,2013,Female,1,16327,6.125,0.155,34.121,*
Lyme Disease,Amador,2013,Male,0,19701,0,0,18.723,-
Lyme Disease,Amador,2014,Total,0,36099,0,0,10.218,-
Lyme Disease,Amador,2014,Female,0,16358,0,0,22.548,-
Lyme Disease,Amador,2014,Male,0,19741,0,0,18.685,-
Lyme Disease,Butte,2001,Total,0,205730,0,0,1.793,-
Lyme Disease,Butte,2001,Female,0,104697,0,0,3.523,-
Lyme Disease,Butte,2001,Male,0,101033,0,0,3.651,-
Lyme Disease,Butte,2002,Total,3,208154,1.441,0.297,4.212,*
Lyme Disease,Butte,2002,Female,2,105823,1.89,0.229,6.827,*
Lyme Disease,Butte,2002,Male,1,102331,0.977,0.025,5.445,*
Lyme Disease,Butte,2003,Total,3,210623,1.424,0.294,4.162,*
Lyme Disease,Butte,2003,Female,2,106998,1.869,0.226,6.752,*
Lyme Disease,Butte,2003,Male,1,103625,0.965,0.024,5.377,*
Lyme Disease,Butte,2004,Total,1,212212,0.471,0.012,2.625,*
Lyme Disease,Butte,2004,Female,1,107746,0.928,0.023,5.171,*
Lyme Disease,Butte,2004,Male,0,104466,0,0,3.531,-
Lyme Disease,Butte,2005,Total,0,213698,0,0,1.726,-
Lyme Disease,Butte,2005,Female,0,108417,0,0,3.402,-
Lyme Disease,Butte,2005,Male,0,105281,0,0,3.504,-
Lyme Disease,Butte,2006,Total,1,215684,0.464,0.012,2.583,*
Lyme Disease,Butte,2006,Female,0,109338,0,0,3.374,-
Lyme Disease,Butte,2006,Male,1,106346,0.94,0.024,5.239,*
Lyme Disease,Butte,2007,Total,0,217115,0,0,1.699,-
Lyme Disease,Butte,2007,Female,0,110027,0,0,3.353,-
Lyme Disease,Butte,2007,Male,0,107088,0,0,3.445,-
Lyme Disease,Butte,2008,Total,2,218485,0.915,0.111,3.307,*
Lyme Disease,Butte,2008,Female,1,110685,0.903,0.023,5.034,*
Lyme Disease,Butte,2008,Male,1,107800,0.928,0.023,5.168,*
Lyme Disease,Butte,2009,Total,4,219287,1.824,0.497,4.67,*
Lyme Disease,Butte,2009,Female,2,110967,1.802,0.218,6.511,*
Lyme Disease,Butte,2009,Male,2,108320,1.846,0.224,6.67,*
Lyme Disease,Butte,2010,Total,1,219971,0.455,0.012,2.533,*
Lyme Disease,Butte,2010,Female,1,111086,0.9,0.023,5.016,*
Lyme Disease,Butte,2010,Male,0,108885,0,0,3.388,-
Lyme Disease,Butte,2011,Total,0,220434,0,0,1.673,-
Lyme Disease,Butte,2011,Female,0,111240,0,0,3.316,-
Lyme Disease,Butte,2011,Male,0,109194,0,0,3.378,-
Lyme Disease,Butte,2012,Total,1,220980,0.453,0.011,2.521,*
Lyme Disease,Butte,2012,Female,1,111415,0.898,0.023,5.001,*
Lyme Disease,Butte,2012,Male,0,109565,0,0,3.367,-
Lyme Disease,Butte,2013,Total,0,221416,0,0,1.666,-
Lyme Disease,Butte,2013,Female,0,111548,0,0,3.307,-
Lyme Disease,Butte,2013,Male,0,109868,0,0,3.357,-
Lyme Disease,Butte,2014,Total,2,223905,0.893,0.108,3.227,*
Lyme Disease,Butte,2014,Female,2,112637,1.776,0.215,6.414,*
Lyme Disease,Butte,2014,Male,0,111268,0,0,3.315,-
Lyme Disease,Calaveras,2001,Total,0,41428,0,0,8.904,-
Lyme Disease,Calaveras,2001,Female,0,20794,0,0,17.739,-
Lyme Disease,Calaveras,2001,Male,0,20634,0,0,17.876,-
Lyme Disease,Calaveras,2002,Total,0,42119,0,0,8.758,-
Lyme Disease,Calaveras,2002,Female,0,21136,0,0,17.452,-
Lyme Disease,Calaveras,2002,Male,0,20983,0,0,17.579,-
Lyme Disease,Calaveras,2003,Total,0,43186,0,0,8.541,-
Lyme Disease,Calaveras,2003,Female,0,21655,0,0,17.033,-
Lyme Disease,Calaveras,2003,Male,0,21531,0,0,17.131,-
Lyme Disease,Calaveras,2004,Total,0,43924,0,0,8.398,-
Lyme Disease,Calaveras,2004,Female,0,22015,0,0,16.755,-
Lyme Disease,Calaveras,2004,Male,0,21909,0,0,16.836,-
Lyme Disease,Calaveras,2005,Total,0,44773,0,0,8.239,-
Lyme Disease,Calaveras,2005,Female,0,22427,0,0,16.447,-
Lyme Disease,Calaveras,2005,Male,0,22346,0,0,16.507,-
Lyme Disease,Calaveras,2006,Total,0,45316,0,0,8.14,-
Lyme Disease,Calaveras,2006,Female,0,22693,0,0,16.254,-
Lyme Disease,Calaveras,2006,Male,0,22623,0,0,16.305,-
Lyme Disease,Calaveras,2007,Total,0,45638,0,0,8.083,-
Lyme Disease,Calaveras,2007,Female,0,22842,0,0,16.148,-
Lyme Disease,Calaveras,2007,Male,0,22796,0,0,16.181,-
Lyme Disease,Calaveras,2008,Total,0,45702,0,0,8.071,-
Lyme Disease,Calaveras,2008,Female,0,22864,0,0,16.133,-
Lyme Disease,Calaveras,2008,Male,0,22838,0,0,16.151,-
Lyme Disease,Calaveras,2009,Total,0,45562,0,0,8.096,-
Lyme Disease,Calaveras,2009,Female,0,22797,0,0,16.18,-
Lyme Disease,Calaveras,2009,Male,0,22765,0,0,16.203,-
Lyme Disease,Calaveras,2010,Total,0,45456,0,0,8.115,-
Lyme Disease,Calaveras,2010,Female,0,22699,0,0,16.25,-
Lyme Disease,Calaveras,2010,Male,0,22757,0,0,16.209,-
Lyme Disease,Calaveras,2011,Total,0,45121,0,0,8.175,-
Lyme Disease,Calaveras,2011,Female,0,22552,0,0,16.356,-
Lyme Disease,Calaveras,2011,Male,0,22569,0,0,16.344,-
Lyme Disease,Calaveras,2012,Total,0,44923,0,0,8.211,-
Lyme Disease,Calaveras,2012,Female,0,22468,0,0,16.417,-
Lyme Disease,Calaveras,2012,Male,0,22455,0,0,16.427,-
Lyme Disease,Calaveras,2013,Total,0,44852,0,0,8.224,-
Lyme Disease,Calaveras,2013,Female,0,22444,0,0,16.435,-
Lyme Disease,Calaveras,2013,Male,0,22408,0,0,16.461,-
Lyme Disease,Calaveras,2014,Total,0,45079,0,0,8.183,-
Lyme Disease,Calaveras,2014,Female,0,22552,0,0,16.356,-
Lyme Disease,Calaveras,2014,Male,0,22527,0,0,16.374,-
Lyme Disease,Colusa,2001,Total,0,19068,0,0,19.344,-
Lyme Disease,Colusa,2001,Female,0,9370,0,0,39.361,-
Lyme Disease,Colusa,2001,Male,0,9698,0,0,38.03,-
Lyme Disease,Colusa,2002,Total,0,19391,0,0,19.022,-
Lyme Disease,Colusa,2002,Female,0,9515,0,0,38.762,-
Lyme Disease,Colusa,2002,Male,0,9876,0,0,37.345,-
Lyme Disease,Colusa,2003,Total,0,19685,0,0,18.738,-
Lyme Disease,Colusa,2003,Female,0,9661,0,0,38.176,-
Lyme Disease,Colusa,2003,Male,0,10024,0,0,36.794,-
Lyme Disease,Colusa,2004,Total,0,20184,0,0,18.275,-
Lyme Disease,Colusa,2004,Female,0,9891,0,0,37.288,-
Lyme Disease,Colusa,2004,Male,0,10293,0,0,35.832,-
Lyme Disease,Colusa,2005,Total,0,20565,0,0,17.936,-
Lyme Disease,Colusa,2005,Female,0,10072,0,0,36.618,-
Lyme Disease,Colusa,2005,Male,0,10493,0,0,35.149,-
Lyme Disease,Colusa,2006,Total,0,20893,0,0,17.654,-
Lyme Disease,Colusa,2006,Female,0,10228,0,0,36.06,-
Lyme Disease,Colusa,2006,Male,0,10665,0,0,34.583,-
Lyme Disease,Colusa,2007,Total,0,21119,0,0,17.466,-
Lyme Disease,Colusa,2007,Female,0,10337,0,0,35.68,-
Lyme Disease,Colusa,2007,Male,0,10782,0,0,34.207,-
Lyme Disease,Colusa,2008,Total,0,21172,0,0,17.422,-
Lyme Disease,Colusa,2008,Female,0,10363,0,0,35.59,-
Lyme Disease,Colusa,2008,Male,0,10809,0,0,34.122,-
Lyme Disease,Colusa,2009,Total,0,21270,0,0,17.342,-
Lyme Disease,Colusa,2009,Female,0,10373,0,0,35.556,-
Lyme Disease,Colusa,2009,Male,0,10897,0,0,33.847,-
Lyme Disease,Colusa,2010,Total,0,21483,0,0,17.17,-
Lyme Disease,Colusa,2010,Female,0,10435,0,0,35.345,-
Lyme Disease,Colusa,2010,Male,0,11048,0,0,33.384,-
Lyme Disease,Colusa,2011,Total,0,21497,0,0,17.159,-
Lyme Disease,Colusa,2011,Female,0,10441,0,0,35.324,-
Lyme Disease,Colusa,2011,Male,0,11056,0,0,33.36,-
Lyme Disease,Colusa,2012,Total,0,21442,0,0,17.203,-
Lyme Disease,Colusa,2012,Female,0,10416,0,0,35.409,-
Lyme Disease,Colusa,2012,Male,0,11026,0,0,33.451,-
Lyme Disease,Colusa,2013,Total,0,21665,0,0,17.025,-
Lyme Disease,Colusa,2013,Female,0,10523,0,0,35.049,-
Lyme Disease,Colusa,2013,Male,0,11142,0,0,33.102,-
Lyme Disease,Colusa,2014,Total,0,21606,0,0,17.072,-
Lyme Disease,Colusa,2014,Female,0,10489,0,0,35.163,-
Lyme Disease,Colusa,2014,Male,0,11117,0,0,33.177,-
Lyme Disease,Contra Costa,2001,Total,5,970496,0.515,0.167,1.202,*
Lyme Disease,Contra Costa,2001,Female,2,497442,0.402,0.049,1.452,*
Lyme Disease,Contra Costa,2001,Male,3,473054,0.634,0.131,1.853,*
Lyme Disease,Contra Costa,2002,Total,3,978795,0.306,0.063,0.896,*
Lyme Disease,Contra Costa,2002,Female,3,501572,0.598,0.123,1.748,*
Lyme Disease,Contra Costa,2002,Male,0,477223,0,0,0.773,-
Lyme Disease,Contra Costa,2003,Total,4,989705,0.404,0.11,1.035,*
Lyme Disease,Contra Costa,2003,Female,2,507028,0.394,0.048,1.425,*
Lyme Disease,Contra Costa,2003,Male,2,482677,0.414,0.05,1.497,*
Lyme Disease,Contra Costa,2004,Total,0,998201,0,0,0.37,-
Lyme Disease,Contra Costa,2004,Female,0,511239,0,0,0.722,-
Lyme Disease,Contra Costa,2004,Male,0,486962,0,0,0.758,-
Lyme Disease,Contra Costa,2005,Total,4,1004230,0.398,0.109,1.02,*
Lyme Disease,Contra Costa,2005,Female,2,514168,0.389,0.047,1.405,*
Lyme Disease,Contra Costa,2005,Male,2,490062,0.408,0.049,1.474,*
Lyme Disease,Contra Costa,2006,Total,1,1010104,0.099,0.003,0.552,*
Lyme Disease,Contra Costa,2006,Female,1,517107,0.193,0.005,1.077,*
Lyme Disease,Contra Costa,2006,Male,0,492997,0,0,0.748,-
Lyme Disease,Contra Costa,2007,Total,0,1021251,0,0,0.361,-
Lyme Disease,Contra Costa,2007,Female,0,522750,0,0,0.706,-
Lyme Disease,Contra Costa,2007,Male,0,498501,0,0,0.74,-
Lyme Disease,Contra Costa,2008,Total,1,1033292,0.097,0.002,0.539,*
Lyme Disease,Contra Costa,2008,Female,0,528831,0,0,0.698,-
Lyme Disease,Contra Costa,2008,Male,1,504461,0.198,0.005,1.104,*
Lyme Disease,Contra Costa,2009,Total,1,1043501,0.096,0.002,0.534,*
Lyme Disease,Contra Costa,2009,Female,0,533877,0,0,0.691,-
Lyme Disease,Contra Costa,2009,Male,1,509624,0.196,0.005,1.093,*
Lyme Disease,Contra Costa,2010,Total,0,1052199,0,0,0.351,-
Lyme Disease,Contra Costa,2010,Female,0,539100,0,0,0.684,-
Lyme Disease,Contra Costa,2010,Male,0,513099,0,0,0.719,-
Lyme Disease,Contra Costa,2011,Total,3,1061197,0.283,0.058,0.826,*
Lyme Disease,Contra Costa,2011,Female,1,543641,0.184,0.005,1.025,*
Lyme Disease,Contra Costa,2011,Male,2,517556,0.386,0.047,1.396,*
Lyme Disease,Contra Costa,2012,Total,3,1069158,0.281,0.058,0.82,*
Lyme Disease,Contra Costa,2012,Female,1,547638,0.183,0.005,1.017,*
Lyme Disease,Contra Costa,2012,Male,2,521520,0.383,0.046,1.385,*
Lyme Disease,Contra Costa,2013,Total,4,1081948,0.37,0.101,0.947,*
Lyme Disease,Contra Costa,2013,Female,2,554275,0.361,0.044,1.303,*
Lyme Disease,Contra Costa,2013,Male,2,527673,0.379,0.046,1.369,*
Lyme Disease,Contra Costa,2014,Total,3,1096637,0.274,0.056,0.799,*
Lyme Disease,Contra Costa,2014,Female,2,561929,0.356,0.043,1.286,*
Lyme Disease,Contra Costa,2014,Male,1,534708,0.187,0.005,1.042,*
Lyme Disease,Del Norte,2001,Total,1,27418,3.647,0.092,20.319,*
Lyme Disease,Del Norte,2001,Female,1,12253,8.161,0.207,45.463,*
Lyme Disease,Del Norte,2001,Male,0,15165,0,0,24.322,-
Lyme Disease,Del Norte,2002,Total,1,27615,3.621,0.092,20.174,*
Lyme Disease,Del Norte,2002,Female,1,12338,8.105,0.205,45.15,*
Lyme Disease,Del Norte,2002,Male,0,15277,0,0,24.144,-
Lyme Disease,Del Norte,2003,Total,0,27871,0,0,13.235,-
Lyme Disease,Del Norte,2003,Female,0,12453,0,0,29.618,-
Lyme Disease,Del Norte,2003,Male,0,15418,0,0,23.923,-
Lyme Disease,Del Norte,2004,Total,0,28187,0,0,13.086,-
Lyme Disease,Del Norte,2004,Female,0,12587,0,0,29.303,-
Lyme Disease,Del Norte,2004,Male,0,15600,0,0,23.644,-
Lyme Disease,Del Norte,2005,Total,0,28315,0,0,13.027,-
Lyme Disease,Del Norte,2005,Female,0,12649,0,0,29.159,-
Lyme Disease,Del Norte,2005,Male,0,15666,0,0,23.544,-
Lyme Disease,Del Norte,2006,Total,0,28276,0,0,13.045,-
Lyme Disease,Del Norte,2006,Female,0,12635,0,0,29.191,-
Lyme Disease,Del Norte,2006,Male,0,15641,0,0,23.582,-
Lyme Disease,Del Norte,2007,Total,0,28480,0,0,12.952,-
Lyme Disease,Del Norte,2007,Female,0,12697,0,0,29.049,-
Lyme Disease,Del Norte,2007,Male,0,15783,0,0,23.37,-
Lyme Disease,Del Norte,2008,Total,0,28571,0,0,12.91,-
Lyme Disease,Del Norte,2008,Female,0,12739,0,0,28.953,-
Lyme Disease,Del Norte,2008,Male,0,15832,0,0,23.297,-
Lyme Disease,Del Norte,2009,Total,2,28559,7.003,0.848,25.295,*
Lyme Disease,Del Norte,2009,Female,1,12720,7.861,0.199,43.794,*
Lyme Disease,Del Norte,2009,Male,1,15839,6.314,0.16,35.172,*
Lyme Disease,Del Norte,2010,Total,0,28543,0,0,12.923,-
Lyme Disease,Del Norte,2010,Female,0,12648,0,0,29.161,-
Lyme Disease,Del Norte,2010,Male,0,15895,0,0,23.205,-
Lyme Disease,Del Norte,2011,Total,0,28485,0,0,12.949,-
Lyme Disease,Del Norte,2011,Female,0,12618,0,0,29.231,-
Lyme Disease,Del Norte,2011,Male,0,15867,0,0,23.246,-
Lyme Disease,Del Norte,2012,Total,0,28533,0,0,12.928,-
Lyme Disease,Del Norte,2012,Female,0,12644,0,0,29.171,-
Lyme Disease,Del Norte,2012,Male,0,15889,0,0,23.214,-
Lyme Disease,Del Norte,2013,Total,0,28225,0,0,13.069,-
Lyme Disease,Del Norte,2013,Female,0,12478,0,0,29.559,-
Lyme Disease,Del Norte,2013,Male,0,15747,0,0,23.423,-
Lyme Disease,Del Norte,2014,Total,0,28219,0,0,13.071,-
Lyme Disease,Del Norte,2014,Female,0,12466,0,0,29.587,-
Lyme Disease,Del Norte,2014,Male,0,15753,0,0,23.414,-
Lyme Disease,El Dorado,2001,Total,0,161880,0,0,2.279,-
Lyme Disease,El Dorado,2001,Female,0,80988,0,0,4.555,-
Lyme Disease,El Dorado,2001,Male,0,80892,0,0,4.56,-
Lyme Disease,El Dorado,2002,Total,0,164725,0,0,2.239,-
Lyme Disease,El Dorado,2002,Female,0,82411,0,0,4.476,-
Lyme Disease,El Dorado,2002,Male,0,82314,0,0,4.481,-
Lyme Disease,El Dorado,2003,Total,0,167670,0,0,2.2,-
Lyme Disease,El Dorado,2003,Female,0,83875,0,0,4.398,-
Lyme Disease,El Dorado,2003,Male,0,83795,0,0,4.402,-
Lyme Disease,El Dorado,2004,Total,4,170304,2.349,0.64,6.014,*
Lyme Disease,El Dorado,2004,Female,1,85200,1.174,0.03,6.539,*
Lyme Disease,El Dorado,2004,Male,3,85104,3.525,0.727,10.301,*
Lyme Disease,El Dorado,2005,Total,2,173181,1.155,0.14,4.172,*
Lyme Disease,El Dorado,2005,Female,1,86647,1.154,0.029,6.43,*
